label=GoogleLES build_tabular end-to-end
samples=13451 sample_rate=0.05
format=flat sortedby=count mincount=5

    Count  Overhead File                                                                                                                        Line Function
      280         0 @Zarr/src/ZArray.jl                                                                                                         184 readblock!(aout::Array{Float32, 4}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{4, NTuple{4, UnitRange…
      296         0 @Zarr/src/ZGroup.jl                                                                                                          30 Zarr.ZGroup(s::Zarr.GCStore, mode::String, path::SubString{String}; fill_as_missing::Bool)
      304         0 @Base/channels.jl                                                                                                           329 bind
      304         0 @Zarr/src/ZArray.jl                                                                                                         179 readblock!(aout::Vector{Float32}, z::Zarr.ZArray{Float32, 1, Zarr.BloscCompressor, Zarr.GCStore}, r::CartesianIndices{1, Tuple{UnitRange{Int64…
      320         0 @Base/path.jl                                                                                                               394 normpath(path::String)
      320         0 @Base/methodshow.jl                                                                                                         137 fixup_stdlib_path(path::String)
      320       320 @Base/tuple.jl                                                                                                               33 getindex
      320         0 @Base/tuple.jl                                                                                                               74 iterate
      340         0 @Base/logging/logging.jl                                                                                                    412 macro expansion
      340         0 @MLCondensateDistributions/utils/GoogleLES.jl                                                                               120 load_zarr_simulation(site_id::Int64, month::Int64, experiment::String)
      360         0 @Base/task.jl                                                                                                              1216 poptask(W::Base.IntrusiveLinkedListSynchronized{Task})
      360         0 @Base/task.jl                                                                                                              1228 wait()
      384         0 @StructUtils/src/StructUtils.jl                                                                                             175 initialize
      400         0 @Base/dict.jl                                                                                                               108 Dict
      424       160 @Zarr/src/ZGroup.jl                                                                                                          22 Zarr.ZGroup(s::Zarr.GCStore, mode::String, path::SubString{String}; fill_as_missing::Bool)
      432         0 @Zarr/src/metadata.jl                                                                                                        60 typestr(s::String, filterlist::Nothing)
      432         0 @Zarr/src/metadata.jl                                                                                                       170 Zarr.Metadata(d::Dict{Any, Any}, fill_as_missing::Bool)
      464         0 @StructUtils/src/StructUtils.jl                                                                                            1036 makearray(style::JSON.JSONReadStyle{Dict, Nothing}, ::Type{Vector{Any}}, source::JSON.LazyValue{String})
      480         0 @StructUtils/src/StructUtils.jl                                                                                             167 initialize
      528         0 @Base/dict.jl                                                                                                               158 rehash!(h::Dict{Any, Any}, newsz::Int64)
      536         0 @Base/lock.jl                                                                                                               218 (::Base.var"#slowlock#lock##0")(rl::ReentrantLock)
      544       544 @Base/boot.jl                                                                                                               498 Box
      560         0 @StructUtils/src/StructUtils.jl                                                                                             999 (::StructUtils.ArrayClosure{Vector{Any}, JSON.JSONReadStyle{Dict, Nothing}})(::Int64, v::JSON.LazyValue{String})
      576       576 @HTTP/src/clientlayers/MessageRequest.jl                                                                                     47 (::HTTP.MessageRequest.var"#makerequest#messagelayer##0"{HTTP.MessageRequest.var"#makerequest#1#messagelayer##1"{HTTP.RedirectRequest.var"#red…
      576         0 @HTTP/src/clientlayers/ConnectionRequest.jl                                                                                  61 (::HTTP.ConnectionRequest.var"#connections#connectionlayer##0"{HTTP.ConnectionRequest.var"#connections#1#connectionlayer##1"{HTTP.TimeoutReque…
      576         0 @Base/refpointer.jl                                                                                                         147 Ref
      608         0 @OpenSSL/src/ssl.jl                                                                                                         443 macro expansion
      616       224 @Zarr/src/ZArray.jl                                                                                                         125 Zarr.ZArray(s::Zarr.GCStore, mode::String, path::String; fill_as_missing::Bool)
      670         0 @Base/ryu/Ryu.jl                                                                                                            114 show(io::IOBuffer, x::Float64, forceuntyped::Bool, fromprint::Bool)
      670         0 @Base/ryu/Ryu.jl                                                                                                            113 show
      670         0 @Base/strings/io.jl                                                                                                         151 print_to_string(::String, ::Float64, ::String, ::Float64, ::String, ::Float64, ::String, ::Float64, ::String, ::Float64, ::Vararg{Any})
      672         0 @Base/refvalue.jl                                                                                                            10 RefValue
      672         0 @Base/refpointer.jl                                                                                                         145 Ref
      672         0 @HTTP/src/clientlayers/RetryRequest.jl                                                                                       48 (::HTTP.RetryRequest.var"#manageretries#retrylayer##0"{HTTP.RetryRequest.var"#manageretries#1#retrylayer##1"{HTTP.ConnectionRequest.var"#conne…
      672       672 @URIs/src/parseutils.jl                                                                                                       6 RegexAndMatchData
      672         0 @URIs/src/URIs.jl                                                                                                           114 uri_reference_regex_f
      672         0 @Base/iddict.jl                                                                                                             171 get!(default::typeof(URIs.uri_reference_regex_f), d::IdDict{Any, Any}, key::Any)
      680         0 @Base/lock.jl                                                                                                               195 lock
      680         0 @Base/lock.jl                                                                                                               374 macro expansion
      680         0 @HTTP/src/Connections.jl                                                                                                    217 read_to_buffer(c::HTTP.Connections.Connection{OpenSSL.SSLStream}, sizehint::Int64)
      680         0 @HTTP/src/Connections.jl                                                                                                    239 readuntil(c::HTTP.Connections.Connection{OpenSSL.SSLStream}, f::typeof(HTTP.Parsers.find_end_of_header), sizehint::Int64)
      686         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     404 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
      800         0 @Base/stream.jl                                                                                                            1071 uv_write(s::Sockets.TCPSocket, p::Ptr{UInt8}, n::UInt64)
      803         0 @Zarr/src/Storage/gcstore.jl                                                                                                129 (::Zarr.var"#subdirs##4#subdirs##5")(prefix::String)
      803         0 @Base/array.jl                                                                                                              826 collect_to_with_first!(dest::Vector{String}, v1::String, itr::Base.Generator{Vector{Any}, Zarr.var"#subdirs##4#subdirs##5"}, st::Int64)
      832       832 @Base/dict.jl                                                                                                               168 rehash!(h::Dict{Any, Any}, newsz::Int64)
      867         0 @Zarr/src/Storage/gcstore.jl                                                                                                129 subdirs(s::Zarr.GCStore, p::SubString{String})
      896       896 @Base/strings/string.jl                                                                                                      71 String(v::Vector{UInt8})
      928       928 @JSON/src/parse.jl                                                                                                          366 lift(style::JSON.JSONReadStyle{Dict, Nothing}, ::Type{Number}, x::JSON.LazyValue{String}, tags::@NamedTuple{})
      928         0 @JSON/src/parse.jl                                                                                                          323 make(st::JSON.JSONReadStyle{Dict, Nothing}, ::Type{Any}, x::JSON.LazyValue{String})
     1000       952 @Zarr/src/metadata.jl                                                                                                       179 Zarr.Metadata(d::Dict{Any, Any}, fill_as_missing::Bool)
     1030        16 @Base/strings/io.jl                                                                                                         193 string
     1050         0 @JSON/src/parse.jl                                                                                                          334 liftkey
     1056         0 @HTTP/src/clientlayers/RetryRequest.jl                                                                                       33 (::HTTP.RetryRequest.var"#manageretries#retrylayer##0"{HTTP.RetryRequest.var"#manageretries#1#retrylayer##1"{HTTP.ConnectionRequest.var"#conne…
     1056      1056 @Base/range.jl                                                                                                              917 iterate
     1088      1088 @Base/boot.jl                                                                                                               499 Box
     1088      1088 @Base/iddict.jl                                                                                                              62 rehash!
     1088         0 @Base/iddict.jl                                                                                                              82 setindex!
     1088      1088 @HTTP/src/cookiejar.jl                                                                                                      166 canonicalhost(host::SubString{String})
     1096      1096 @Base/strings/io.jl                                                                                                         110 sprint(::typeof(join), ::Vector{String}, ::Vararg{Any}; context::Nothing, sizehint::Int64)
     1096         0 @Base/strings/util.jl                                                                                                       897 split
